iter	Passed	Remaining
656	466127	427815
657	466969	427227
658	467684	426522
659	468389	425808
660	469081	425083
661	469860	424436
662	470675	423821
663	471429	423150
664	472203	422497
665	472894	421770
666	473611	421067
667	474358	420389
668	475159	419759
669	475875	419054
670	476550	418313
671	477258	417600
672	477952	416876
673	478745	416239
674	479469	415540
675	480262	414901
676	481023	414234
677	481817	413595
678	482558	412910
679	483292	412219
680	484044	411544
681	484666	410758
682	485436	410097
683	486197	409429
684	486926	408733
685	487631	408017
686	488381	407339
687	489159	406684
688	489959	406047
689	490770	405418
690	491540	404756
691	492325	404104
692	493044	403399
693	493861	402774
694	494668	402140
695	495356	401409
696	496082	400709
697	496776	399983
698	497499	399280
699	498409	398727
700	499136	398027
701	499818	397291
702	500487	396545
703	501212	395843
704	502040	395223
705	502773	394527
706	503576	393886
707	504319	393198
708	505051	392501
709	505753	391780
710	506567	391147
711	507315	390461
712	508014	389738
713	508776	389064
714	509568	388412
715	510301	387715
716	510942	386947
717	511781	386330
718	512530	385645
719	513353	385014
720	514171	384380
721	514865	383653
722	515553	382921
723	516385	382296
724	517117	381596
725	517928	380955
726	518684	380273
727	519461	379606
728	520248	378946
729	520992	378255
730	521699	377536
731	522452	376851
732	523107	376095
733	523889	375430
734	524662	374758
735	525355	374030
736	526082	373325
737	526815	372625
738	527503	371893
739	528279	371223
740	529038	370540
741	529817	369872
742	530574	369188
743	531369	368530
744	532208	367902
745	532959	367213
746	533760	366558
747	534563	365904
748	535271	365185
749	536051	364514
750	536802	363824
751	537544	363128
752	538363	362483
753	539026	361733
754	539771	361039
755	540506	360337
756	541266	359652
757	542042	358978
758	542817	358302
759	543696	357695
760	544403	356974
761	545159	356285
762	545854	355556
763	546563	354837
764	547356	354171
765	548145	353503
766	548904	352816
767	549632	352108
768	550298	351360
769	551021	350649
770	551825	349990
771	552551	349281
772	553278	348572
773	553967	347840
774	554700	347135
775	555459	346446
776	556328	345825
777	557189	345199
778	557947	344509
779	558676	343800
780	559481	343139
781	560228	342441
782	560906	341701
783	561681	341020
784	562404	340308
785	563084	339570
786	563827	338869
787	564603	338188
788	565364	337498
789	566174	336837
790	567005	336189
791	567863	335555
792	568637	334872
793	569363	334160
794	570102	333455
795	570819	332739
796	571555	332032
797	572278	331318
798	573069	330644
799	573750	329906
800	574489	329201
801	575322	328551
802	576148	327894
803	576907	327201
804	577654	326500
805	578422	325811
806	579199	325126
807	579931	324417
808	580622	323684
809	581396	322997
810	582152	322301
811	583037	321675
812	583812	320988
813	584573	320294
814	585312	319587
815	586039	318874
816	586827	318194
817	587606	317508
818	588316	316785
819	589107	316106
820	589899	315427
821	590667	314735
822	591442	314046
823	592253	313376
824	593041	312694
825	593719	311954
826	594543	311290
827	595277	310579
828	596056	309891
829	596789	309180
830	597550	308482
831	598298	307778
832	599104	307104
833	599782	306363
834	600625	305707
835	601420	305026
836	602206	304340
837	602986	303651
838	603740	302949
839	604459	302229
840	605210	301525
841	605921	300801
842	606669	300096
843	607357	299361
844	608035	298621
845	608777	297912
846	609627	297256
847	610383	296554
848	611219	295890
849	612006	295203
850	612809	294523
851	613550	293813
852	614268	293091
853	615039	292395
854	615851	291719
855	616614	291019
856	617334	290298
857	618060	289580
858	618861	288898
859	619657	288212
860	620439	287520
861	621182	286810
862	621871	286075
863	622688	285398
864	623383	284666
865	624170	283975
866	624926	283271
867	625663	282557
868	626496	281887
869	627204	281160
870	628030	280486
871	628799	279786
872	629513	279062
873	630252	278349
874	631040	277658
875	631814	276959
876	632545	276242
877	633354	275559
878	634051	274827
879	634776	274107
880	635522	273397
881	636243	272675
882	637002	271970
883	637744	271257
884	638525	270561
885	639297	269861
886	640123	269183
887	640881	268477
888	641637	267769
889	642459	267089
890	643322	266426
891	644072	265716
892	644867	265024
893	645529	264277
